Region,DataYear,ClassGrade,Gender,Ageyears,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Schoolwork_Pressure,Superpower,Handed,Travel_to_School,Travel_time_to_School,Left_Footlength_cm,Longer_Finger_Lefthand,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Watching_TV_Hours,Planned_Education_Level,Favorite_Music
CA,2016,12,Male,17,8,9,Very little,Telepathy,Right-Handed,Car,20,,Index finger,Yes - broadband connection,Text messaging,30,30,10,12,8,2,2,2,3,Graduate degree,Rock and roll
NC,2016,12,Male,17,8,10,Very little,Telepathy,Right-Handed,Car,15,27,Same length,Yes - broadband connection,In person,15,17,8,1,1,6,2,1,12,Graduate degree,Pop
IN,2014,12,Female,16,6.5,8,Some,Telepathy,Right-Handed,Car,10,24,Ring finger,No internet connection,Internet chat or instant messaging,10,10,3,30,2,0,1,2,0,Graduate degree,Classical
CA,2018,12,Female,17,8,9,A lot,Fly,Right-Handed,Car,5,23,Index finger,Yes - broadband connection,Cell phone,100,100,10,10,4,10,10,10,6,Graduate degree,Rhythm and blues (R&B)
DE,2018,12,Male,17,7,9,Some,Invisibility,Right-Handed,Car,7,27.5,Same length,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",15,15,10,4.5,3,11,15,4,5,Undergraduate degree,Rap/Hip hop
AZ,2012,12,Female,17,5,8,A lot,Telepathy,,Car,9,17,Ring finger,Yes - broadband connection,Cell phone,21,22,5,13,7,5,8,3,2,Graduate degree,Rock and roll
FL,2015,11,Male,16,6,10,Some,Super strength,Left-Handed,Bus,10,28,Same length,Yes - broadband connection,In person,12,,10,3,2,15,3,1,4,Some college,Rhythm and blues (R&B)
NC,2016,6,Female,11,7,8,Some,Invisibility,Right-Handed,Bus,89,23,Index finger,Yes - other,Text messaging,78,90,0,3,6,15,75,89,87,Graduate degree,Punk rock
UT,2016,12,Female,17,5,5,A lot,Invisibility,Right-Handed,Car,6,23,Ring finger,Yes - other,Internet chat or instant messaging,0,0,0,1,1,2,8,5,5,Other,Reggae
CA,2014,5,Female,10,8,10,Very little,Telepathy,Right-Handed,Car,13,20.5,Index finger,Yes - other,Text messaging,100,105,30,5,15,4,1,5,20,Other,Rap/Hip hop
GA,2010,12,Female,17,8,9,A lot,Telepathy,Right-Handed,Car,11,9.5,Index finger,Yes - broadband connection,Text messaging,32,40,24,2,14,10,2,154,4,Graduate degree,Country
SC,2015,11,Male,15,7,10,Very little,Freeze time,Right-Handed,Car,10,25,Ring finger,Yes - broadband connection,Text messaging,10,10,38,10,40,2,1,5,10,Graduate degree,Rock and roll
NC,2014,10,Female,17,7,10,A lot,Freeze time,Right-Handed,Car,7,23.5,Ring finger,Yes - broadband connection,Text messaging,214,240,47,0,0,0,15,80,5,Undergraduate degree,Gospel
CA,2017,7,Male,12,8,9,Very little,Fly,Right-Handed,Car,20,25,Ring finger,Yes - broadband connection,Text messaging,25,50,2,3,4,2,2,2,2,Graduate degree,Rap/Hip hop
CA,2016,12,Male,18,7,8.5,Some,Freeze time,Left-Handed,Bus,30,170,Same length,Yes - broadband connection,Cell phone,16,15,8,8,5,2,8,1,4,Graduate degree,Rap/Hip hop
NE,2012,12,Female,17,8,11,Very little,Telepathy,Left-Handed,Car,10,25,Ring finger,Yes - broadband connection,In person,100,100,65,7,20,25,10,7,3,Graduate degree,Country
CA,2016,4,Male,16,7,10,Some,Freeze time,Right-Handed,Car,20,26,Ring finger,Yes - broadband connection,Internet chat or instant messaging,500,400,1,16,6,0,2,10,0,Graduate degree,Techno/Electronic
CA,2015,10,Female,15,7,9,Some,Invisibility,Right-Handed,Car,5,22,Ring finger,Yes - broadband connection,E-mail,2,0,2,2,1,3,3,6,0,Graduate degree,Pop
TX,2017,12,Female,17,8,9,Some,Fly,Right-Handed,Car,12,25,Ring finger,Yes - broadband connection,In person,50,70,10,20,4,2,2,2,5,Graduate degree,Country
CO,2015,12,Male,18,7.5,8,Very little,Telepathy,Right-Handed,Car,20,28,Ring finger,Yes - broadband connection,Internet chat or instant messaging,2,2,115.5,10,48,2.5,0,40,0,Undergraduate degree,Pop
WI,2018,12,Female,17,7,8,Some,Telepathy,Left-Handed,Car,1,24,Ring finger,Yes - broadband connection,Text messaging,5,10,19,4,1,10,3,1,8,Graduate degree,Country
CA,2016,7,Male,12,9,9,Very little,Fly,Right-Handed,Car,8,25,Ring finger,Yes - other,Text messaging,5,10,2,5,3,6,8,2,4,Graduate degree,Rap/Hip hop
OH,2016,12,Female,21,7,8,Some,Telepathy,Left-Handed,Walk,15,,,Yes - other,Text messaging,500,500,15,15,5,5,10,10,10,Graduate degree,Pop
OK,2013,12,Male,17,5,8,Some,Freeze time,Right-Handed,Car,10,26,Index finger,Yes - other,Text messaging,65,65,4,30,3.5,1,1,7,3,Other,Other
NE,2017,10,Female,17,6,8,A lot,,Right-Handed,Car,5,12,Index finger,Yes - broadband connection,Text messaging,12,12,20,3,5,10,5,2,2,,
CA,2018,12,Female,17,7,9,Very little,Telepathy,Right-Handed,Walk,10,20,Index finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",30,40,6,2,9,2,6,0,4,Graduate degree,Rap/Hip hop
MI,2013,11,Male,17,7,12,Some,Freeze time,Right-Handed,Car,7,80,Same length,Yes - broadband connection,In person,55,56,12,21,13,12,4,6,8,Graduate degree,Rap/Hip hop
TX,2017,12,Male,17,7,9,Some,Freeze time,Right-Handed,Bus,20,30,Same length,Yes - broadband connection,Text messaging,20,10,21,0,7,0,0,1,14,Some college,Rock and roll
FL,2011,12,Female,17,8,10,Some,Telepathy,Right-Handed,Car,15,21,Ring finger,Yes - broadband connection,Text messaging,36,35,45,10,46,15,12,24,5,Graduate degree,Pop
IL,2017,8,Female,13,8,9,Some,Super strength,Right-Handed,Car,3,23.5,Same length,Yes - broadband connection,In person,29,29,5,7.5,10,3,8,3,1,Graduate degree,Jazz
CA,2015,5,Female,10,10,12,Very little,Fly,Right-Handed,Car,0.75,22.5,Ring finger,Yes - broadband connection,Text messaging,0,89,0,5,3,4,1,1,0.5,Graduate degree,Pop
WI,2013,8,Female,13,9,10,None,Fly,Right-Handed,Car,5,22,Ring finger,Yes - broadband connection,Text messaging,10,8,5,7,7,5,3,5,3,Graduate degree,Pop
NC,2017,10,Female,14,7,9,A lot,Invisibility,Right-Handed,Car,10,23,Index finger,Yes - other,"Myspace, Facebook, other social networking sites, or blog",40,100,1,35,2,25,2,1,5,Graduate degree,Pop
PA,2015,12,Female,17,7,8,A lot,Telepathy,Right-Handed,Car,13,24,Ring finger,Yes - broadband connection,Text messaging,2000,2000,10,3,5,4,30,100,6,Some college,Rap/Hip hop
MT,2015,11,Female,17,6,10,Some,Invisibility,Right-Handed,Car,10,22,Ring finger,Yes - other,In person,200,200,30,3,15,6,10,20,2,Some college,Rap/Hip hop
IL,2015,12,Male,17,7,5,A lot,Telepathy,Right-Handed,Car,15,27,Index finger,Yes - dial-up connection,Text messaging,40,40,6,4,4,0,4,4,0,Graduate degree,Techno/Electronic
FL,2013,12,Female,17,8,9,Very little,Telepathy,Right-Handed,Car,2,25,Index finger,Yes - broadband connection,Text messaging,100,100,5,3,2,23,3,2,2,Undergraduate degree,Rap/Hip hop
OH,2015,8,Female,14,7,10,Some,Freeze time,Right-Handed,Car,5,23,Index finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",21,46,4,4,5,3,3,0.5,2,Graduate degree,Other
NC,2012,12,Female,17,4,7,Some,Fly,Right-Handed,Car,15,30,Ring finger,Yes - broadband connection,In person,800,800,10,8,2,6,4,125,3,Graduate degree,Other
CA,2018,12,Male,17,7,11,A lot,Super strength,Right-Handed,Bus,45,165,Index finger,Yes - broadband connection,Internet chat or instant messaging,18,7,11,6,0,7,30,4,0,Graduate degree,Pop
MO,2015,12,Male,17,5,7,A lot,Freeze time,Right-Handed,Car,15,35,Ring finger,Yes - broadband connection,Text messaging,5,10,6,20,12,15,3,3,1,Graduate degree,Techno/Electronic
TN,2018,12,Female,17,8,11,Some,Telepathy,Right-Handed,Car,5,23,Index finger,Yes - other,"Myspace, Facebook, other social networking sites, or blog",200,199,20,10,2,50,100,100,0,Other,Rhythm and blues (R&B)
CA,2011,12,Female,16,8,9,A lot,Telepathy,Right-Handed,Car,15,24,Ring finger,Yes - broadband connection,Internet chat or instant messaging,20,20,10,12,7,5,9,14,7,Undergraduate degree,Pop
NM,2014,12,Male,18,7.5,9,A lot,Telepathy,Right-Handed,Car,25,24,Index finger,Yes - broadband connection,Text messaging,50,60,6,15,10,5,10,7,15,Graduate degree,Country
WI,2013,8,Male,12,10,12,A lot,Super strength,Left-Handed,Bus,25,24,Index finger,Yes - broadband connection,Text messaging,19,27,6,2,2,5,2,1,3,Graduate degree,Pop
FL,2011,12,Female,18,6,8,A lot,Freeze time,Right-Handed,Car,15,24,Same length,Yes - broadband connection,Text messaging,100,150,4,2,7,0,5,10,10,High school,Rap/Hip hop
MO,2015,12,Male,17,7,,Very little,Freeze time,Right-Handed,Car,15,26,Same length,Yes - broadband connection,,1,4,5,10,10,2,6,6,3,Graduate degree,Pop
MA,2018,12,Female,17,6,8,Some,Fly,Right-Handed,Car,8,24,Ring finger,Yes - broadband connection,Text messaging,120,116,116,5,10,0,90,89,10,Some college,Rap/Hip hop
WI,2018,11,Female,17,6,8,A lot,Super strength,Right-Handed,Bus,10,23.5,Index finger,Yes - other,"Myspace, Facebook, other social networking sites, or blog",20,35,10,6,5,5,8,10,1,Graduate degree,Rap/Hip hop
PA,2016,12,Female,18,7,10,Some,Telepathy,Right-Handed,Car,4,23,Index finger,Yes - broadband connection,Text messaging,4,14,4,1,8,3,4,2,4,Undergraduate degree,Pop
MD,2012,10,Male,15,7,9,A lot,Freeze time,Right-Handed,Car,10,28,Ring finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",4,6,24,6,1,0,3,1,5,Graduate degree,Techno/Electronic
CA,2014,12,Male,18,8,10,A lot,Freeze time,Left-Handed,Car,15,11.75,Ring finger,Yes - broadband connection,Text messaging,100,99,20,10,4,16,4,8,10,Graduate degree,Techno/Electronic
FL,2013,12,Male,17,6,11,A lot,Freeze time,Right-Handed,Car,20,28,Ring finger,Yes - broadband connection,In person,100,100,40,24,32,16,15,35,10,Graduate degree,Techno/Electronic
NC,2018,12,Female,16,5,,A lot,Super strength,Right-Handed,Bus,62,23.8,,Yes - broadband connection,Text messaging,5,8,0,13,5,0,10,1,0,Graduate degree,Other
CA,2013,7,Female,12,10,8,None,Telepathy,Right-Handed,Car,10,,,Yes - broadband connection,E-mail,0,0,3,1,30,1,1,0,6,Graduate degree,Classical
GA,2011,6,Male,11,10,8,Some,Fly,Right-Handed,Bus,30,23,Index finger,Yes - broadband connection,In person,0,0,5,7,1,8,1,0,3,Graduate degree,Rap/Hip hop
PA,2019,4,Male,10,8,4,Some,Telepathy,Right-Handed,Bus,5,34,Same length,Yes - other,In person,0,0,88,88,88,88,88,88,88,Other,
TX,2016,12,Male,18,5,12,A lot,Freeze time,Right-Handed,Bus,57,24,Ring finger,Yes - broadband connection,,200,80,40,5,10,2,10,21,1,Graduate degree,Reggae
CA,2015,12,Female,17,8,6,Some,Fly,Right-Handed,Walk,5,24,,Yes - dial-up connection,Text messaging,80,83,150,12,1200,6,9,1200,4,Graduate degree,Other
TX,2011,12,Male,17,6,10,Some,Freeze time,Left-Handed,Car,12,27.01,Ring finger,Yes - broadband connection,In person,0,3,20,18,3,6,0,0,10,Graduate degree,Rock and roll
TX,2014,12,Male,17,8,8,Some,Super strength,Right-Handed,Car,20,30,Ring finger,Yes - broadband connection,Cell phone,5,5,10,8,4,10,4,7,3,Undergraduate degree,Rap/Hip hop
WA,2016,9,Female,14,7,5,Some,Invisibility,Right-Handed,Car,10,23.5,Ring finger,Yes - broadband connection,Text messaging,1,2,0,5,2,0,2,3,1,Graduate degree,Classical
PA,2012,11,Female,16,6,8,A lot,Telepathy,Right-Handed,Bus,10,23.3,Same length,Yes - other,In person,2,4,5,10,15,4,4,5,3,Graduate degree,Pop
IN,2018,12,Female,17,5,8,Some,Telepathy,Left-Handed,Car,5,21.59,Ring finger,Yes - other,Text messaging,5,8,9,10,7,10,15,12,12,Graduate degree,Rhythm and blues (R&B)
TX,2017,12,Male,18,7,9,Some,Telepathy,Ambidextrous,Car,4,29,Same length,Yes - broadband connection,In person,80,100,15,8,3,9,3,4,6,Graduate degree,Rap/Hip hop
TX,2016,12,Male,17,7,8,A lot,Super strength,Right-Handed,Car,25,24.13,Ring finger,Yes - broadband connection,Text messaging,50,25,15,12,8,15,3,5,15,Graduate degree,Rap/Hip hop
WI,2014,8,Female,13,5,4,A lot,Telepathy,Right-Handed,Bus,30,7,Index finger,Yes - other,Text messaging,30,30,6,7,8,6,8,12,1,Other,Other
FL,2018,12,Male,15,6,4,Some,Freeze time,Right-Handed,Car,15,26,Ring finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",3,25,,,,,,,,Graduate degree,Rap/Hip hop
AK,2017,12,Female,16,8,10,Some,Telepathy,Right-Handed,Bus,17,26,Ring finger,Yes - broadband connection,Internet chat or instant messaging,50,50,0,4,24,0,12,12,12,Undergraduate degree,Rhythm and blues (R&B)
WI,2015,8,Male,13,8,13,A lot,Freeze time,Right-Handed,Bus,95,28,Same length,Yes - other,Text messaging,3,15,1,1,2,10,2,1,3,Some college,Rap/Hip hop
NC,2015,12,Female,18,7,10,Some,Invisibility,Right-Handed,Car,7,22,Index finger,Yes - broadband connection,Text messaging,217,250,15,0,40,4,100,140,18,Graduate degree,Country
OR,2014,12,Female,16,8,10,A lot,Fly,Right-Handed,Bus,15,25,Same length,Yes - broadband connection,Text messaging,5,4,30,6,4,6,2,1,14,Graduate degree,Other
MD,2015,10,Male,16,7,11,Some,Fly,Ambidextrous,Bus,60,26,Ring finger,Yes - broadband connection,Text messaging,100,200,24,2,4,48,3,24,1,Graduate degree,Rap/Hip hop
WI,2016,12,Female,17,7,8,Some,Fly,Right-Handed,Car,12,22,Index finger,Yes - broadband connection,In person,1,3,5,18,15,14,2,2,5,Graduate degree,Pop
GA,2016,11,Female,19,5,12,A lot,Telepathy,Right-Handed,Bus,20,25.5,Index finger,No internet connection,"Myspace, Facebook, other social networking sites, or blog",10,10,7,0,7,0,6,7,2,Other,Rap/Hip hop
MO,2017,12,Female,18,6,8,Some,Telepathy,Right-Handed,Walk,2,21,Ring finger,Yes - broadband connection,In person,70,100,20,24,0,7,5,3,0,Undergraduate degree,Other
CA,2017,12,Male,18,6.5,8,A lot,Fly,Right-Handed,Car,20,28,Ring finger,Yes - broadband connection,Internet chat or instant messaging,42,34,10,25,6,22,20,1,1,Graduate degree,Rap/Hip hop
WI,2014,12,Female,17,7,9,A lot,Fly,Ambidextrous,Car,5,26,Ring finger,Yes - other,Text messaging,200,200,26,6,10,20,70,75,18,Undergraduate degree,Rap/Hip hop
IN,2014,12,Female,18,6,5,Some,Telepathy,Right-Handed,Car,15,22,Same length,Yes - other,Cell phone,28,30,0,4,5,0,6,4,5,Undergraduate degree,Pop
CA,2018,9,Female,14,7,9,Some,Telepathy,Right-Handed,Car,20,29,Ring finger,Yes - broadband connection,Text messaging,20,20,24,6,6,7,7,3,5,Some college,Other
GU,2014,8,Male,14,7,3,Some,Telepathy,Right-Handed,Car,10,27,Index finger,Yes - broadband connection,Other,0,0,0,2,0,3,3,0,16,Graduate degree,Country
PA,2010,4,Male,10,11,13,A lot,Telepathy,Right-Handed,Car,10,70,Ring finger,Yes - broadband connection,In person,0,0,1,5,9,1,0,0,1,Undergraduate degree,Rap/Hip hop
NJ,2012,9,Male,14,9,12,A lot,Telepathy,Right-Handed,Bus,30,26,Ring finger,Yes - broadband connection,Text messaging,400,400,10,2,0,5,3,10,8,Graduate degree,Rap/Hip hop
CT,2013,12,Male,18,9,5,Some,Freeze time,Ambidextrous,Bus,35,26,,Yes - broadband connection,Text messaging,50,50,55,20,60,18,90,90,50,Graduate degree,Rap/Hip hop
RI,2013,6,Male,12,7,6,Some,Telepathy,Right-Handed,Car,5,24,Index finger,Yes - broadband connection,Internet chat or instant messaging,1,2,,1.5,1,0.5,0.5,1,2,Graduate degree,Other
CA,2016,12,Male,17,8,10,Very little,Freeze time,Right-Handed,Car,13,27,Ring finger,Yes - broadband connection,In person,5,5,6,5,3,15,0,0,0,Undergraduate degree,Rock and roll
CA,2011,12,Male,17,8,7,Some,Freeze time,Right-Handed,Car,8,25,Ring finger,Yes - broadband connection,In person,0,0,5,3,7,2,1,20,7,Graduate degree,Classical
CA,2015,6,Female,12,7,13,Some,Fly,Right-Handed,Car,10,23,Index finger,Yes - broadband connection,In person,27,30,5,1,168,2,2,1,6,Graduate degree,Pop
IL,2014,8,Male,14,10,9,Very little,Invisibility,Left-Handed,Car,7,23,Index finger,Yes - broadband connection,Text messaging,2,3,30,15,12,9,1,3,15,Graduate degree,Techno/Electronic
MO,2017,11,Male,16,8,11,Very little,Telepathy,Right-Handed,Car,50,28,Ring finger,Yes - other,Text messaging,8,9,15,10,50,30,20,8,19,Graduate degree,Rap/Hip hop
OH,2016,8,Female,13,8,10,Some,Fly,Right-Handed,Car,30,25,Ring finger,Yes - broadband connection,In person,0,0,5,15,2,0,0,0,2,Undergraduate degree,Rock and roll
SC,2016,11,Female,16,4,7,A lot,Invisibility,Right-Handed,Walk,5,25,Same length,Yes - other,In person,0,0,15,3,10,2,5,2,12,Graduate degree,Heavy metal
MI,2013,4,Female,15,8,10,A lot,Telepathy,Ambidextrous,Bus,15,25,Same length,Yes - other,"Myspace, Facebook, other social networking sites, or blog",10,10,3,15,20,3,10,1,5,Graduate degree,Pop
NJ,2016,12,Female,18,8,8,Very little,Invisibility,Left-Handed,Car,6,22,Index finger,Yes - broadband connection,In person,30,100,10,2,2,14,10,8,1,Graduate degree,Rhythm and blues (R&B)
MO,2017,11,Male,16,8,6,Some,Telepathy,Right-Handed,Car,23,26,Index finger,Yes - broadband connection,Text messaging,35,70,10,10,4,10,2,6,5,Graduate degree,Country
NM,2016,12,Female,17,8,10,A lot,Fly,Right-Handed,Car,11,26,Index finger,Yes - other,"Myspace, Facebook, other social networking sites, or blog",50,50,40,5,35,0,20,20,40,Graduate degree,Other
CA,2018,8,Male,13,9,9,Some,Fly,Right-Handed,Walk,6,26,Ring finger,Yes - broadband connection,Text messaging,22,136,47,5,2,10,1,2,1,Graduate degree,Rap/Hip hop
CA,2019,12,Female,20,8,6,Some,Freeze time,Right-Handed,Car,60,20,Index finger,Yes - other,In person,0,1,2,1,0,0,4,0,1,Less than high school,Rock and roll
CT,2017,12,Female,17,7,10,A lot,Freeze time,Right-Handed,Bus,70,24.2,Index finger,Yes - other,Text messaging,32,40,10,10,15,0,20,20,2,Graduate degree,Pop
CA,2015,8,Female,14,7,10,A lot,Super strength,Left-Handed,Car,30,27,Index finger,Yes - broadband connection,Text messaging,20,30,168,1,0,50,168,168,0,Graduate degree,Pop
CA,2018,11,Male,16,7,9,A lot,Freeze time,Right-Handed,Car,15,28,Index finger,Yes - broadband connection,Text messaging,10,15,,,,,,,,Graduate degree,Pop
NJ,2018,11,Male,17,8,5,A lot,Fly,Left-Handed,Car,20,28,Ring finger,Yes - other,In person,0,0,8,7,8,9,11,2,1,Other,Other
MA,2017,12,Male,17,6.5,7,A lot,Telepathy,Right-Handed,Bus,20,26,Index finger,Yes - broadband connection,Internet chat or instant messaging,600,500,1,15,2,1,4,2,4,Graduate degree,Rap/Hip hop
OH,2018,12,Male,18,7,9,Some,Invisibility,Right-Handed,Car,3,26,,Yes - broadband connection,Text messaging,100,300,12,3,7,18,10,10,3,Graduate degree,Rhythm and blues (R&B)
WI,2014,12,Female,17,8.5,10,Some,Telepathy,Right-Handed,Car,5,26,Index finger,Yes - broadband connection,Text messaging,40,80,25,1.5,20,5,1,6,5,Graduate degree,Techno/Electronic
MO,2018,12,Male,15,8,11,A lot,Telepathy,Right-Handed,Walk,4,28,Ring finger,Yes - other,In person,26,41,12,14,1,10,3,5,1,Graduate degree,Rap/Hip hop
CO,2018,7,Male,13,5,7,A lot,Telepathy,Right-Handed,Walk,5,29,Ring finger,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",90,100,9,20,4,6,50,2,1,Other,Techno/Electronic
SC,2012,11,Male,17,6,4,Some,Super strength,Right-Handed,Car,10,31,Same length,Yes - other,Cell phone,400,450,10,14,1,14,2,30,3,Graduate degree,Rap/Hip hop
IN,2013,12,Male,17,6.5,6,Very little,Telepathy,Right-Handed,Car,12,28,Ring finger,Yes - broadband connection,Text messaging,16,17,12,1,10,12,4,4,12,Graduate degree,Rock and roll
NJ,2018,11,Male,16,9,12,Some,Super strength,Left-Handed,Bus,45,26,Ring finger,Yes - other,Cell phone,1,2,,,,,,,,High school,Rock and roll
NE,2017,12,Male,17,8,9,Very little,Freeze time,Right-Handed,Car,15,28,Ring finger,Yes - broadband connection,In person,120,120,7,4,5,15,2,5,5,Graduate degree,Rock and roll
CT,2018,12,Female,17,4,10,Some,Invisibility,Right-Handed,Bus,30,21.59,Ring finger,Yes - other,Internet chat or instant messaging,10,15,45,15,30,5,40,105,70,Undergraduate degree,Reggae
NJ,2017,12,Female,17,8.5,9,Some,Telepathy,Right-Handed,Car,8,24.8,Index finger,Yes - broadband connection,Text messaging,250,275,10,10,9,8,4,5,9,Graduate degree,Country
PA,2015,12,Male,17,7,9,Some,Fly,Right-Handed,Car,5,28,Same length,Yes - broadband connection,Text messaging,15,30,21,25,14,10,7,7,14,Graduate degree,Other
TX,2017,11,Male,17,7,10,Some,Super strength,Right-Handed,Car,15,29,Ring finger,Yes - broadband connection,Internet chat or instant messaging,60,60,5,2,0,0,0,1,1,Some college,Punk rock
NC,2014,7,Male,13,8,6,Very little,Fly,Right-Handed,Car,10,27,Same length,Yes - dial-up connection,In person,0,0,8,1,3,8,1,0,3,Some college,Country
GA,2010,11,Female,17,6,11,A lot,Telepathy,Right-Handed,Car,2,25,Index finger,Yes - other,Text messaging,50,65,10,20,2,14,2,6,6,Graduate degree,Rock and roll
NY,2015,6,Male,12,8,8,Very little,Telepathy,Left-Handed,Bus,60,28,Index finger,Yes - other,Internet chat or instant messaging,6,5,15,4,10,12,1,5,1,Graduate degree,Classical
CA,2011,12,Male,17,7,9,A lot,Freeze time,Right-Handed,Car,7,26,Ring finger,Yes - broadband connection,Text messaging,32,36,3,5,6,11,3,2,8,Undergraduate degree,Rap/Hip hop
CA,2016,12,Male,16,7,10,Some,Freeze time,Right-Handed,Car,35,,Ring finger,Yes - broadband connection,Text messaging,20,20,0,8,4,14,10,10,10,Graduate degree,Country
WI,2014,12,Male,17,8,6,A lot,Invisibility,Right-Handed,Car,9,29,Ring finger,Yes - dial-up connection,Text messaging,30,50,12,8,5,3,1,2,10,Undergraduate degree,Rap/Hip hop
MN,2014,11,Female,16,5,9,Some,Telepathy,Right-Handed,Car,5,18,Ring finger,Yes - other,Text messaging,100,110,22,8,7,3,15,15,0.5,Graduate degree,Country
SC,2018,11,Female,17,7,8,Some,Telepathy,Right-Handed,Car,4,22,Index finger,Yes - other,In person,120,139,4,1,1,0,15,3,15,Graduate degree,Rhythm and blues (R&B)
NC,2017,11,Female,18,6,10,A lot,Telepathy,Right-Handed,Car,7,23,Index finger,Yes - broadband connection,Text messaging,75,75,7,15,10,3,6,4,2,Graduate degree,Classical
PA,2016,12,Female,17,8,11,Some,Freeze time,Right-Handed,Car,15,24,Index finger,Yes - broadband connection,Text messaging,200,200,20,8,30,12,12,24,14,Undergraduate degree,Pop
FL,2017,6,Female,11,9,7,Some,Freeze time,Right-Handed,Bus,15,21,Ring finger,Yes - broadband connection,Internet chat or instant messaging,2,30,70,30,70,10,60,30,70,High school,Pop
PA,2010,11,Male,16,6,10,Some,Fly,Right-Handed,Car,10,27,Same length,Yes - other,Cell phone,50,50,10,2.5,2,3,5,2.5,10,Graduate degree,Rap/Hip hop
CA,2016,11,Male,17,8,6,None,Invisibility,Right-Handed,Walk,10,27,Ring finger,Yes - broadband connection,Text messaging,8,8,4,2,5,1,5,0,1,Graduate degree,Rap/Hip hop
TX,2016,12,Male,17,6,10,A lot,Super strength,Right-Handed,Car,30,27.5,Ring finger,Yes - broadband connection,Internet chat or instant messaging,0,2,60,50,7,0,5,50,0,Graduate degree,Techno/Electronic
TX,2015,4,Male,9,10,10,None,Freeze time,Right-Handed,Car,1,19,Index finger,Yes - other,In person,0,0,2,1,3,1,1,0,5,Graduate degree,Techno/Electronic
IL,2016,6,Male,12,8,6,A lot,Super strength,Right-Handed,Bicycle,10,26,Index finger,Yes - dial-up connection,Text messaging,100,100,7,8,8,9,9,9,4,Graduate degree,Rap/Hip hop
MA,2018,12,Female,17,6,10,A lot,Telepathy,Right-Handed,Bus,20,22,Index finger,Yes - other,Cell phone,5,6,4,12,1,0,2,1,0,Graduate degree,Rap/Hip hop
CT,2015,11,Male,17,5,12,Some,Invisibility,Right-Handed,Bus,15,11,Ring finger,Yes - broadband connection,Cell phone,0,10000,24,0,2,10,10,12,10000,Graduate degree,Rap/Hip hop
IA,2014,12,Female,17,6,8,Some,Telepathy,Right-Handed,Car,3,23,Ring finger,Yes - other,Text messaging,50,50,35,8,1,15,10,10,10,Undergraduate degree,Country
CA,2016,11,Male,15,6,8,A lot,Freeze time,Right-Handed,Walk,15,27,Same length,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,10,10,15,0,20,5,2,0,Some college,Techno/Electronic
FL,2015,12,Female,16,7,10,A lot,Telepathy,Right-Handed,Car,10,22.8,Index finger,Yes - broadband connection,Text messaging,50,51,4,15,2,12,2,1,2,Graduate degree,Pop
TX,2012,12,Female,17,6,9,A lot,Telepathy,Right-Handed,Car,3,26,Index finger,Yes - broadband connection,Text messaging,40,49,10,35,10,20,5,2,7,Graduate degree,Rhythm and blues (R&B)
OH,2018,12,Female,16,7,12,Some,Telepathy,Right-Handed,Car,25,23,Ring finger,Yes - broadband connection,Text messaging,10,50,10,6,0,0,30,1,4,Undergraduate degree,Techno/Electronic
FL,2018,12,Female,17,8,10,A lot,Telepathy,Right-Handed,Car,15,23.5,Index finger,Yes - broadband connection,Text messaging,100,105,20,120,50,7,3,5,10,Graduate degree,Pop
MI,2016,12,Male,16,3,5,A lot,Telepathy,Right-Handed,Car,7,22,Ring finger,Yes - broadband connection,Text messaging,148,524,6,12,3,20,7,5,0,Graduate degree,Pop
CT,2016,9,Female,17,5,6,Some,Telepathy,Right-Handed,Car,14,23.2,Index finger,,Cell phone,30,40,0,28,11,0,5,29,21,Graduate degree,Rap/Hip hop
CA,2018,12,Female,17,6,8,A lot,Invisibility,Right-Handed,Car,40,24,Same length,Yes - broadband connection,Text messaging,70,25,0,28,10,0,21,1,1,Undergraduate degree,Other
NJ,2012,12,Female,17,7,12,A lot,Fly,Right-Handed,Car,5,25,Same length,Yes - broadband connection,In person,10,12,7,9,17,14,4,3,8,Graduate degree,Pop
DE,2016,12,Male,17,7,9,Some,Invisibility,Right-Handed,Car,25,28,,Yes - broadband connection,Text messaging,15,15,5,12,20,3,0,20,30,Undergraduate degree,Rock and roll
MN,2017,12,Male,17,7,8,Very little,Freeze time,Ambidextrous,Bicycle,18,27.5,Ring finger,Yes - dial-up connection,"Myspace, Facebook, other social networking sites, or blog",80,100,6,2.5,8.5,10,3,10,4,High school,Rhythm and blues (R&B)
